idServicio;id;nombreBar;capacidadBar;estiloBar;horario;;
1;1;Ledner, Ratke and Roob;11;adipiscing;COMPLETO;;
1;2;Kertzmann, Welch and Ernser;230;semper;DIURNO;;
1;3;Reilly and Sons;150;vestibulum;NOCTURNO;;
1;4;Goldner-Klocko;457;habitasse;DIURNO;;
1;5;Corwin, Mohr and Wehner;308;metus;NOCTURNO;;
1;6;Koch LLC;32;blandit;COMPLETO;;
1;7;Collier, Towne and Vandervort;94;consequat;DIURNO;;
1;8;Kemmer-Mohr;27;neque;DIURNO;;
1;9;Veum-Friesen;68;curae;COMPLETO;;
1;10;Baumbach Inc;464;aenean;NOCTURNO;;
1;11;Kuhn-Dare;150;purus;COMPLETO;;
1;12;Collier-Wintheiser;362;eu;DIURNO;;
1;13;Spencer, Boyer and Beatty;401;felis;NOCTURNO;;
1;14;Maggio-Morar;244;nulla;COMPLETO;;
1;15;Schultz Group;288;in;DIURNO;;
1;16;Hickle-Windler;109;rutrum;COMPLETO;;
1;17;Marquardt-Mills;423;adipiscing;DIURNO;;
1;18;Yundt and Sons;332;viverra;NOCTURNO;;
1;19;Kuhic-Mosciski;74;sed;COMPLETO;;
1;20;Sauer Group;149;sapien;COMPLETO;;
1;21;Dicki-Hartmann;103;nisl;DIURNO;;
1;22;Green-Prosacco;117;rhoncus;NOCTURNO;;
1;23;Bergnaum, Ryan and Grady;320;venenatis;NOCTURNO;;
1;24;Grant-Herzog;217;suscipit;DIURNO;;
1;25;Schmeler and Sons;118;ornare;NOCTURNO;;
1;26;Wolff, Kirlin and Ward;203;aliquet;DIURNO;;
1;27;Williamson-McLaughlin;318;in;DIURNO;;
1;28;Cruickshank and Sons;256;suspendisse;COMPLETO;;
1;29;Hessel-Reinger;440;mi;COMPLETO;;
1;30;McCullough Inc;486;in;DIURNO;;
1;31;Bauch and Sons;231;gravida;DIURNO;;
1;32;Walker Inc;211;feugiat;NOCTURNO;;
1;33;Hoppe, Weimann and Nikolaus;464;pretium;DIURNO;;
1;34;Jacobson-Lesch;468;quam;DIURNO;;
1;35;Krajcik, Funk and Powlowski;261;sit;DIURNO;;
1;36;VonRueden LLC;359;etiam;COMPLETO;;
1;37;Gerhold-Buckridge;63;sed;DIURNO;;
1;38;Kirlin-Ankunding;200;in;DIURNO;;
1;39;McDermott, Kilback and Hand;370;est;COMPLETO;;
1;40;Ledner and Sons;325;interdum;DIURNO;;
1;41;Lind, Volkman and Rolfson;155;ante;NOCTURNO;;
1;42;Harber LLC;45;malesuada;DIURNO;;
1;43;Dach, Greenholt and Beatty;339;purus;NOCTURNO;;
1;44;Boyle-Conroy;459;mattis;NOCTURNO;;
1;45;Wilderman, McDermott and Kautzer;211;ullamcorper;COMPLETO;;
1;46;Kassulke and Sons;218;nunc;DIURNO;;
1;47;Haag-Gaylord;99;eros;NOCTURNO;;
1;48;Ruecker, Hills and Bechtelar;45;sapien;NOCTURNO;;
1;49;Jerde, Leffler and Kozey;251;diam;COMPLETO;;
1;50;Barton-Macejkovic;260;risus;COMPLETO;;
1;51;Dickens and Sons;292;justo;COMPLETO;;
1;52;Welch-Roob;147;pede;COMPLETO;;
1;53;Collier, Jakubowski and Olson;139;congue;NOCTURNO;;
1;54;Gerlach-McCullough;264;donec;NOCTURNO;;
1;55;Huels, Wolff and Bergstrom;491;nullam;NOCTURNO;;
1;56;Sporer and Sons;210;sit;DIURNO;;
1;57;Gutmann and Sons;182;morbi;COMPLETO;;
1;58;Gulgowski-Strosin;158;diam;DIURNO;;
1;59;Koch-Wolf;477;odio;COMPLETO;;
1;60;Ebert-Hudson;404;justo;DIURNO;;
1;61;Macejkovic-Kohler;22;pretium;DIURNO;;
1;62;Feil-Pouros;178;amet;NOCTURNO;;
1;63;Vandervort-Zemlak;37;platea;DIURNO;;
1;64;Kihn and Sons;337;at;NOCTURNO;;
1;65;Dicki-Bosco;166;ut;NOCTURNO;;
