id;nombre;organizador;fechaInicio;fechaFin;duracion;planPago
1;Keebler, Goldner and Stamm;68764;2019-04-06;2019-09-15;15;3012
2;Hirthe, Nikolaus and Pouros;47381;2021-12-25;2020-11-13;2;1713
3;Breitenberg, Veum and Gaylord;64330;2022-04-07;2020-05-28;7;2852
4;Funk and Sons;17166;2021-07-08;2019-08-20;12;3242
5;Grant-King;72005;2019-05-13;2019-03-24;2;1061
6;Marquardt Inc;21841;2019-08-25;2022-05-02;1;3026
7;Jerde-Kihn;39001;2022-04-05;2021-10-27;11;2698
8;Dickens and Sons;77101;2020-06-13;2019-05-15;7;1505
9;Upton, Gutmann and Lind;30720;2022-01-07;2022-02-09;4;4985
10;Kshlerin-Hackett;30472;2018-07-22;2022-09-03;6;1805
11;Kuvalis, Altenwerth and Klein;40010;2020-05-15;2021-01-23;13;647
12;Orn, Barton and Rau;67398;2022-06-08;2022-12-15;3;361
13;Dietrich LLC;4490;2021-07-09;2019-08-25;13;3205
14;Rowe-Bogisich;12629;2020-08-27;2020-05-01;14;2798
15;Douglas-Rau;1257;2019-05-01;2018-08-12;15;4915
16;Funk LLC;31802;2020-12-10;2022-07-26;10;321
17;Davis-Ziemann;56810;2018-05-23;2018-07-07;8;4152
18;Reichert Inc;30984;2018-11-08;2020-10-30;15;2890
19;Grant, Lind and Graham;60495;2018-01-05;2019-12-13;7;4628
20;Cronin Group;20686;2019-10-01;2021-10-01;1;2545
21;Hegmann-Paucek;48334;2018-01-27;2018-02-28;6;2399
22;Kohler Inc;13453;2020-01-21;2022-08-12;3;1637
23;Fay Group;28836;2022-11-19;2022-09-03;11;4798
24;Weber-Turner;15941;2020-11-22;2021-12-31;10;4631
25;Emmerich, Schuster and Oberbrunner;10249;2020-09-25;2022-11-20;6;2240
26;Barton, Grimes and Ortiz;21535;2020-05-22;2022-02-19;10;4457
27;Gutkowski-Marvin;52074;2021-05-20;2022-03-06;5;3815
28;Wolf, Gleason and Reichert;13763;2019-07-29;2020-02-17;2;2271
29;Kihn Group;51344;2021-12-25;2021-03-18;6;2227
30;Cremin-Grant;32819;2020-03-17;2022-01-04;8;4400
31;Ullrich, Hessel and Gleichner;37206;2018-04-28;2019-11-08;4;1705
32;Runolfsdottir, Reilly and Pfeffer;34407;2020-08-12;2018-07-17;5;1322
33;Schaefer, Runolfsson and Christiansen;66916;2021-11-01;2018-10-20;10;553
34;Hintz-Wiegand;27424;2021-10-14;2022-09-26;8;4797
35;Funk-Dibbert;19023;2020-06-13;2022-10-20;6;3446
36;Kreiger, Homenick and Beahan;42292;2022-06-29;2020-05-18;7;930
37;Gulgowski Inc;79031;2022-02-13;2021-03-03;1;4297
38;Reichel Group;36937;2022-11-27;2020-01-29;4;3501
39;Mraz-Grant;49681;2019-06-22;2021-07-07;5;3913
40;Harvey, Steuber and Wilderman;70353;2021-10-01;2021-11-14;4;1134
41;Labadie-Ryan;3324;2021-11-28;2020-03-31;10;2482
42;Kunze and Sons;16238;2022-01-24;2018-08-15;11;3357
43;Kris Group;45160;2022-06-29;2021-03-28;1;230
44;Donnelly, Schneider and Tromp;25902;2020-04-27;2018-09-03;4;4529
45;Hane LLC;53045;2018-09-27;2019-05-14;3;226
46;Kuhic, Bernhard and Berge;68834;2021-06-27;2019-01-27;4;2178
47;Mayert Group;74296;2022-06-26;2019-12-25;11;4494
48;Stark-Towne;52109;2021-07-17;2019-07-05;1;2495
49;Crooks, Kassulke and Schroeder;15433;2021-09-01;2020-11-06;3;4476
50;Bernhard-Jacobs;68897;2021-08-23;2021-09-11;7;4592
51;Keebler, Goldner and Stamm;21871;2022-12-04;2021-12-15;11;2045
52;Hirthe, Nikolaus and Pouros;74957;2019-01-07;2022-03-09;2;3458
53;Breitenberg, Veum and Gaylord;10548;2019-04-18;2020-04-06;8;212
54;Funk and Sons;56586;2020-11-06;2019-09-05;15;73
55;Grant-King;12975;2022-11-05;2018-08-04;13;153
56;Marquardt Inc;3114;2018-12-23;2019-06-24;8;2734
57;Jerde-Kihn;30781;2018-03-28;2022-01-05;7;3131
58;Dickens and Sons;54019;2018-11-13;2021-05-26;3;2605
59;Upton, Gutmann and Lind;68033;2018-08-14;2019-01-24;11;3971
60;Kshlerin-Hackett;67178;2018-06-07;2018-06-29;13;2209
61;Kuvalis, Altenwerth and Klein;42931;2020-01-27;2019-05-15;12;4928
62;Orn, Barton and Rau;75254;2018-08-06;2021-09-07;4;4269
63;Dietrich LLC;64965;2021-01-04;2018-11-04;13;1987
64;Rowe-Bogisich;1972;2018-03-02;2022-09-03;2;1990
65;Douglas-Rau;36496;2022-04-30;2019-07-02;15;1154
66;Funk LLC;16651;2020-12-26;2019-03-20;5;1123
67;Davis-Ziemann;67655;2019-01-19;2022-07-31;2;3444
68;Reichert Inc;67830;2018-05-30;2022-07-29;5;4315
69;Grant, Lind and Graham;14095;2020-04-16;2018-11-08;7;1217
70;Cronin Group;56433;2018-08-13;2022-11-29;9;473
71;Hegmann-Paucek;15068;2020-09-16;2022-03-18;2;2109
72;Kohler Inc;6800;2020-12-14;2021-09-20;9;604
73;Fay Group;20185;2019-02-09;2018-03-26;10;4362
74;Weber-Turner;20105;2022-07-03;2018-01-15;4;1627
75;Emmerich, Schuster and Oberbrunner;52678;2022-05-12;2018-01-29;12;3486
76;Barton, Grimes and Ortiz;64073;2019-02-23;2021-09-30;4;4519
77;Gutkowski-Marvin;18136;2018-12-27;2022-10-04;6;2700
78;Wolf, Gleason and Reichert;15187;2020-03-14;2022-04-07;7;553
79;Kihn Group;49868;2021-01-07;2018-12-29;2;333
80;Cremin-Grant;25000;2019-10-17;2020-05-21;3;1434
81;Ullrich, Hessel and Gleichner;24608;2020-05-21;2022-02-06;6;2109
82;Runolfsdottir, Reilly and Pfeffer;51052;2018-01-17;2022-06-25;9;4415
83;Schaefer, Runolfsson and Christiansen;9005;2020-01-15;2022-08-30;3;3972
84;Hintz-Wiegand;33524;2022-01-16;2021-10-09;13;4151
85;Funk-Dibbert;60642;2018-02-20;2022-10-22;7;2119
86;Kreiger, Homenick and Beahan;74165;2021-09-29;2018-02-06;4;175
87;Gulgowski Inc;4060;2022-03-26;2021-08-23;5;2703
88;Reichel Group;57432;2019-12-18;2022-06-19;15;710
89;Mraz-Grant;41958;2021-12-31;2020-04-21;9;2004
90;Harvey, Steuber and Wilderman;29205;2021-02-12;2018-12-04;9;1425
91;Labadie-Ryan;50683;2020-05-27;2020-11-03;15;3243
92;Kunze and Sons;70974;2022-06-25;2021-03-18;7;286
93;Kris Group;25382;2020-07-28;2021-12-05;8;2141
94;Donnelly, Schneider and Tromp;44198;2019-09-11;2020-05-28;6;3016
95;Hane LLC;61038;2020-10-10;2022-01-12;6;2190
