idFactura;montoTotal;habitacion
1;2282060;84981
2;3188393;63177
3;63055;81498
4;6897503;98694
5;7316642;13171
6;7315068;13047
7;2666223;1496
8;5973286;23561
9;9252326;22121
10;4687998;109937
11;533405;108174
12;4124197;92361
13;1368940;96602
14;3293237;74932
15;6433393;82232
16;7341575;41491
17;6858317;92033
18;795423;119973
19;1335395;35326
20;518175;80693
21;3925937;20032
22;4438496;79768
23;4796669;107565
24;140661;98790
25;9225078;44367
26;1776209;79682
27;76537;119339
28;4823409;12960
29;474112;2081
30;1168926;52251
31;1433450;92183
32;4122540;36221
33;7819325;11394
34;3958097;71578
35;8595319;61144
36;1538390;21666
37;9119259;13808
38;680815;113593
39;9040555;445
40;2632056;101913
41;2663998;109912
42;4270906;118195
43;3923419;46573
44;4067749;32208
45;957469;46719
46;9375634;118002
47;6330450;119067
48;1574994;21986
49;8186862;72494
50;5479259;80023
51;9052658;90421
52;2382646;118928
53;5227621;69998
54;8646151;81410
55;6788721;92076
56;3244308;57335
57;902771;58337
58;9501170;23671
59;1630893;72270
60;1076779;104552
61;6563864;96880
62;2046978;112925
63;9705622;86293
64;7627973;68856
65;7577851;81366
66;852077;82926
67;2236516;87317
68;6588861;117826
69;8013363;72924
70;3072204;19892
71;654381;82626
72;2709115;70475
73;7014830;52447
74;2104604;71919
75;8168621;44357
76;9012620;19646
77;4051700;98651
78;5716974;45225
79;904258;113131
80;8860453;35377
81;7778100;11923
82;9567778;49594
83;3055507;58191
84;9256470;102410
85;8290668;53743
86;5988174;88718
87;6459323;73080
88;6244936;365
89;4464712;89745
90;3414594;25442
91;9407979;109224
92;8441802;42672
93;5289916;36185
94;7888765;88775
95;569738;115149
96;1524710;74301
97;354531;60141
98;88472;21803
99;1201812;98453
100;3927592;67921
101;4333338;25744
102;9452555;70220
103;941283;22618
104;5580083;35122
105;124704;78321
106;1021310;47911
107;3561301;21337
108;4252493;119523
109;7944028;34659
110;4428972;109042
111;8892639;27212
112;584864;50158
113;5077197;100807
114;6138456;49177
115;952510;103956
116;7708266;7087
117;591415;83582
118;761154;37976
119;3064355;24596
120;7398975;45368
121;7846742;89807
122;1907472;45732
123;916790;104534
124;7041689;31900
125;327211;8700
126;1720460;21575
127;4383179;87459
128;3522974;111366
129;8437818;89583
130;3477415;62359
131;765385;28175
132;9056145;93052
