idHotel;nombreHotel;numeroEstrellas;paisHotel;ciudadHotel;cadenaHotelera
1;vulputate;3;Thailand;Mae Charim;foreground
2;lorem;3;Indonesia;Maikawada;capacity
3;sed;5;Sweden;Norrahammar;collaboration
4;sit;1;China;Shensuo;Team-oriented
5;integer;4;Armenia;Nor Gyugh;coherent
6;nullam;3;Argentina;Ingeniero Guillermo N. JuÃ¡rez;focus group
7;sagittis;2;Indonesia;Banjar Paangkelod;Team-oriented
8;ligula;4;Netherlands;Veghel;holistic
9;ipsum;0;Colombia;Pedraza;heuristic
10;proin;0;Mexico;Melchor Ocampo;forecast
11;augue;3;Botswana;Mogapi;Visionary
12;mauris;1;China;Wangxian;data-warehouse
13;lobortis;1;Philippines;Pinayagan Norte;Reactive
14;lectus;1;Indonesia;Mendenrejo;capability
15;varius;0;Costa Rica;PatarrÃ¡;Re-engineered
16;pellentesque;1;Colombia;Campo de la Cruz;clear-thinking
17;justo;3;Haiti;Thomassique;Universal
18;molestie;0;Sweden;Haninge;value-added
19;odio;2;Palestinian Territory;Sinjil;open system
20;nisl;5;Indonesia;Berbek;neural-net
21;viverra;1;Indonesia;Biting;24 hour
22;habitasse;2;Nicaragua;San JosÃ© de Cusmapa;Focused
23;tristique;0;France;Cesson-SÃ©vignÃ©;Organized
24;aliquam;3;France;Gentilly;even-keeled
25;lobortis;2;Albania;Vranisht;matrices
26;eu;4;Monaco;La Condamine;optimizing
27;mi;0;Japan;Tamamura;heuristic
28;augue;2;Greece;FilÃ_tion;emulation
29;libero;5;Sierra Leone;Moyamba;Enhanced
30;purus;1;China;Hedao;knowledge user
31;diam;2;Indonesia;Kedungbulu;systematic
32;at;2;Indonesia;Ngulung Wetan;attitude-oriented
33;faucibus;1;Portugal;Cimo de Vila;next generation
34;lacus;1;Netherlands;Leeuwarden;Synchronised
35;est;4;Philippines;Aras-asan;Organized
36;in;4;China;Heba;contingency
37;porta;2;China;Zhenwen;User-friendly
38;aliquam;5;Brazil;Erechim;impactful
39;elementum;1;Peru;Ayacucho;Graphic Interface
40;consectetuer;4;South Korea;Hwaseong-si;4th generation
41;non;1;Russia;Podgorenskiy;functionalities
42;mi;3;China;Xinkai;fault-tolerant
43;vel;0;Philippines;Concepcion;full-range
44;mauris;5;Brazil;Campo Alegre;Secured
45;in;3;Canada;West End;function
46;montes;3;Myanmar;Taungdwingyi;Upgradable
47;nulla;0;China;Xiwang;framework
48;ac;0;Netherlands;Venlo;Quality-focused
49;dui;2;Canada;Baie-Comeau;well-modulated
50;metus;2;Peru;Socos;homogeneous
51;neque;1;North Korea;Å¬iju;Customizable
52;in;2;Croatia;Pag;Devolved
53;adipiscing;1;Indonesia;Sukajadi;projection
54;maecenas;0;Mongolia;Turt;static
55;viverra;2;China;Zuoxi;demand-driven
56;porttitor;5;Syria;JÄÅsim;scalable
57;praesent;1;Indonesia;Cibodas;Configurable
58;ultrices;5;Albania;Poshnje;task-force
59;nam;4;Pakistan;Ä€dilpur;asymmetric
60;turpis;4;Ukraine;Uhryniv;Exclusive
61;turpis;0;Philippines;Malabago;Reduced
62;donec;4;Russia;Pashkovskiy;budgetary management
63;quisque;0;China;Yancheng;Persevering
64;congue;4;Kyrgyzstan;Toktogul;initiative
65;ultrices;0;Croatia;KruÅ¡evo;Multi-lateral
66;metus;5;Indonesia;Kupang;Secured
67;neque;2;Palestinian Territory;SÄ«rÄ«s;Centralized
68;aliquet;5;China;Hongxi;Networked
69;ac;5;Argentina;AÃ±elo;capability
70;libero;1;Russia;Svetlograd;Proactive
71;et;0;Pakistan;MÄ«rpur MÄÅthelo;6th generation
72;dignissim;0;China;Yuhuang;multi-state
73;maecenas;0;Brazil;Almeirim;demand-driven
74;vestibulum;5;Portugal;Praia de Mira;Implemented
75;montes;0;Indonesia;Tolitoli;workforce
76;quis;0;Serbia;Ljubovija;clear-thinking
77;dolor;5;China;Yangzhong;infrastructure
78;sapien;5;Sweden;JÃ_rfÃ_lla;Persistent
79;tempus;4;China;Huangling;scalable
80;maecenas;5;Philippines;Bautista;multi-state
81;mollis;4;China;Xiajiashan;value-added
82;est;1;Argentina;JunÃ_n;Function-based
83;pellentesque;1;Sweden;Dorotea;actuating
84;eu;1;China;Baoshan;success
85;ut;2;Portugal;Insua;fresh-thinking
86;hac;0;China;Hefu;leverage
87;est;1;Philippines;Cawayan;secured line
88;cubilia;1;Peru;Maranura;array
89;lorem;3;Palestinian Territory;YÄÅsÅ«f;disintermediate
90;ac;4;Bosnia and Herzegovina;Karadaglije;transitional
91;sapien;4;Ukraine;Markivka;software
92;elit;5;Portugal;OuteirÃ´;systemic
93;nec;4;Russia;Is;throughput
94;nulla;2;Canada;Coaldale;eco-centric
95;nunc;2;Israel;Kafr KannÄÅ;attitude-oriented
96;aliquam;5;Kyrgyzstan;Bazar-Korgon;Universal
97;suspendisse;4;Latvia;BrocÄ“ni;encryption
98;congue;5;Gambia;Georgetown;Business-focused
99;ridiculus;3;Cameroon;Manjo;data-warehouse
100;non;4;Portugal;AlmoÃ_nhas Velhas;maximized
101;integer;3;Indonesia;Panolan;Cross-group
102;posuere;2;Sweden;SÃ¶derkÃ¶ping;Synchronised
103;interdum;3;Palestinian Territory;Al Buqâ€˜ah;access
104;interdum;4;Kazakhstan;Shymkent;conglomeration
105;vestibulum;4;Philippines;San Miguel;mission-critical
106;non;3;Indonesia;Lampa;standardization
107;quisque;0;United States;Beaverton;Virtual
108;justo;5;Indonesia;Banyutengah;local area network
109;cubilia;4;Sri Lanka;Nuwara Eliya;Enhanced
110;mauris;2;Croatia;RaÅ¡a;customer loyalty
111;vel;3;United States;Philadelphia;conglomeration
112;cursus;0;Belgium;Antwerpen;task-force
113;sed;4;Russia;Pevek;methodology
114;quisque;4;Argentina;VicuÃ±a Mackenna;tertiary
115;nunc;2;China;Xiongâ€™erzhai;Business-focused
116;tellus;0;Finland;Hartola;Ameliorated
117;risus;1;Portugal;Aldeia;Ergonomic
118;est;5;Gabon;Franceville;Automated
119;tortor;4;Brazil;JutaÃ_;structure
120;rhoncus;4;United States;Norwalk;throughput
121;justo;5;Colombia;GuataquÃ_;neural-net
122;turpis;4;Brazil;GuarÃ¡;Polarised
123;mauris;2;China;Heping;Reactive
124;non;3;Philippines;Noling;full-range
125;mauris;1;Indonesia;Miribanteng;encryption
126;nec;0;China;Duntou;incremental
127;in;5;Russia;Tyoply Stan;Multi-channelled
128;commodo;5;Mongolia;Chonogol;dynamic
129;ornare;3;Indonesia;Tiron;Cloned
130;odio;0;China;Beigang;Graphic Interface
131;nisl;0;Thailand;Bang Bo;scalable
132;in;2;Philippines;Saguiaran;circuit
133;consequat;0;Guatemala;San Rafael Petzal;secured line
134;maecenas;3;China;Muye;support
135;vulputate;1;Philippines;Bangad;actuating
