id;idServicio;tipoServicio;horario
1;4;Planchado;DIURNO
2;4;Planchado;DIURNO
3;4;Planchado;NOCTURNO
4;4;Lavado;COMPLETO
5;4;Planchado;DIURNO
6;4;Lavado;NOCTURNO
7;4;Lavado;COMPLETO
8;4;Lavado;NOCTURNO
9;4;Planchado;DIURNO
10;4;Lavado;DIURNO
11;4;Planchado;DIURNO
12;4;Planchado;DIURNO
13;4;Planchado;NOCTURNO
14;4;Lavado;COMPLETO
15;4;Planchado;DIURNO
16;4;Lavado;NOCTURNO
17;4;Lavado;COMPLETO
18;4;Lavado;NOCTURNO
19;4;Planchado;DIURNO
20;4;Lavado;DIURNO
21;4;Planchado;DIURNO
22;4;Planchado;DIURNO
23;4;Planchado;NOCTURNO
24;4;Lavado;COMPLETO
25;4;Planchado;DIURNO
26;4;Lavado;NOCTURNO
27;4;Lavado;COMPLETO
28;4;Lavado;NOCTURNO
29;4;Planchado;DIURNO
30;4;Lavado;DIURNO
31;4;Planchado;DIURNO
32;4;Planchado;DIURNO
33;4;Planchado;NOCTURNO
34;4;Lavado;COMPLETO
35;4;Planchado;DIURNO
36;4;Lavado;NOCTURNO
37;4;Lavado;COMPLETO
38;4;Lavado;NOCTURNO
39;4;Planchado;DIURNO
40;4;Lavado;DIURNO
41;4;Planchado;DIURNO
42;4;Planchado;DIURNO
43;4;Planchado;NOCTURNO
44;4;Lavado;COMPLETO
45;4;Planchado;DIURNO
46;4;Lavado;NOCTURNO
47;4;Lavado;COMPLETO
48;4;Lavado;NOCTURNO
49;4;Planchado;DIURNO
50;4;Lavado;DIURNO
51;4;Planchado;DIURNO
52;4;Planchado;DIURNO
53;4;Planchado;NOCTURNO
54;4;Lavado;COMPLETO
55;4;Planchado;DIURNO
56;4;Lavado;NOCTURNO
57;4;Lavado;COMPLETO
58;4;Lavado;NOCTURNO
59;4;Planchado;DIURNO
60;4;Lavado;DIURNO
61;4;Planchado;DIURNO
62;4;Planchado;DIURNO
63;4;Planchado;NOCTURNO
64;4;Lavado;COMPLETO
65;4;Planchado;DIURNO
66;4;Lavado;NOCTURNO
67;4;Lavado;COMPLETO
68;4;Lavado;NOCTURNO
69;4;Planchado;DIURNO
70;4;Lavado;DIURNO
71;4;Planchado;DIURNO
72;4;Planchado;DIURNO
73;4;Planchado;NOCTURNO
74;4;Lavado;COMPLETO
75;4;Planchado;DIURNO
76;4;Lavado;NOCTURNO
77;4;Lavado;COMPLETO
78;4;Lavado;NOCTURNO
79;4;Planchado;DIURNO
80;4;Lavado;DIURNO
81;4;Planchado;DIURNO
82;4;Planchado;DIURNO
83;4;Planchado;NOCTURNO
84;4;Lavado;COMPLETO
85;4;Planchado;DIURNO
86;4;Lavado;NOCTURNO
87;4;Lavado;COMPLETO
88;4;Lavado;NOCTURNO
89;4;Planchado;DIURNO
90;4;Lavado;DIURNO
91;4;Planchado;DIURNO
92;4;Planchado;DIURNO
93;4;Planchado;NOCTURNO
94;4;Lavado;COMPLETO
95;4;Planchado;DIURNO
96;4;Lavado;NOCTURNO
97;4;Lavado;COMPLETO
98;4;Lavado;NOCTURNO
99;4;Planchado;DIURNO
100;4;Lavado;DIURNO
101;4;Planchado;DIURNO
102;4;Planchado;DIURNO
103;4;Planchado;NOCTURNO
104;4;Lavado;COMPLETO
105;4;Planchado;DIURNO
106;4;Lavado;NOCTURNO
107;4;Lavado;COMPLETO
108;4;Lavado;NOCTURNO
109;4;Planchado;DIURNO
110;4;Lavado;DIURNO
111;4;Planchado;DIURNO
112;4;Planchado;DIURNO
113;4;Planchado;NOCTURNO
114;4;Lavado;COMPLETO
115;4;Planchado;DIURNO
116;4;Lavado;NOCTURNO
117;4;Lavado;COMPLETO
118;4;Lavado;NOCTURNO
119;4;Planchado;DIURNO
120;4;Lavado;DIURNO
121;4;Planchado;DIURNO
122;4;Planchado;DIURNO
123;4;Planchado;NOCTURNO
124;4;Lavado;COMPLETO
125;4;Planchado;DIURNO
126;4;Lavado;NOCTURNO
127;4;Lavado;COMPLETO
128;4;Lavado;NOCTURNO
129;4;Planchado;DIURNO
130;4;Lavado;DIURNO
131;4;Planchado;DIURNO
132;4;Planchado;DIURNO
133;4;Planchado;NOCTURNO
134;4;Lavado;COMPLETO
135;4;Planchado;DIURNO
136;4;Lavado;NOCTURNO
137;4;Lavado;COMPLETO
138;4;Lavado;NOCTURNO
139;4;Planchado;DIURNO
140;4;Lavado;DIURNO
141;4;Planchado;DIURNO
142;4;Planchado;DIURNO
143;4;Planchado;NOCTURNO
144;4;Lavado;COMPLETO
145;4;Planchado;DIURNO
146;4;Lavado;NOCTURNO
147;4;Lavado;COMPLETO
148;4;Lavado;NOCTURNO
149;4;Planchado;DIURNO
150;4;Lavado;DIURNO
151;4;Planchado;DIURNO
152;4;Planchado;DIURNO
153;4;Planchado;NOCTURNO
154;4;Lavado;COMPLETO
155;4;Planchado;DIURNO
156;4;Lavado;NOCTURNO
157;4;Lavado;COMPLETO
158;4;Lavado;NOCTURNO
159;4;Planchado;DIURNO
160;4;Lavado;DIURNO
161;4;Planchado;DIURNO
162;4;Planchado;DIURNO
163;4;Planchado;NOCTURNO
164;4;Lavado;COMPLETO
165;4;Planchado;DIURNO
166;4;Lavado;NOCTURNO
167;4;Lavado;COMPLETO
168;4;Lavado;NOCTURNO
169;4;Planchado;DIURNO
170;4;Lavado;DIURNO
171;4;Planchado;DIURNO
172;4;Planchado;DIURNO
173;4;Planchado;NOCTURNO
174;4;Lavado;COMPLETO
175;4;Planchado;DIURNO
176;4;Lavado;NOCTURNO
177;4;Lavado;COMPLETO
178;4;Lavado;NOCTURNO
179;4;Planchado;DIURNO
180;4;Lavado;DIURNO
181;4;Planchado;DIURNO
182;4;Planchado;DIURNO
183;4;Planchado;NOCTURNO
184;4;Lavado;COMPLETO
185;4;Planchado;DIURNO
186;4;Lavado;NOCTURNO
187;4;Lavado;COMPLETO
188;4;Lavado;NOCTURNO
189;4;Planchado;DIURNO
190;4;Lavado;DIURNO
191;4;Planchado;DIURNO
192;4;Planchado;DIURNO
193;4;Planchado;NOCTURNO
194;4;Lavado;COMPLETO
195;4;Planchado;DIURNO
196;4;Lavado;NOCTURNO
197;4;Lavado;COMPLETO
198;4;Lavado;NOCTURNO
199;4;Planchado;DIURNO
200;4;Lavado;DIURNO
201;4;Planchado;DIURNO
202;4;Planchado;DIURNO
203;4;Planchado;NOCTURNO
204;4;Lavado;COMPLETO
205;4;Planchado;DIURNO
206;4;Lavado;NOCTURNO
207;4;Lavado;COMPLETO
208;4;Lavado;NOCTURNO
209;4;Planchado;DIURNO
210;4;Lavado;DIURNO
211;4;Planchado;DIURNO
212;4;Planchado;DIURNO
213;4;Planchado;NOCTURNO
214;4;Lavado;COMPLETO
215;4;Planchado;DIURNO
216;4;Lavado;NOCTURNO
217;4;Lavado;COMPLETO
218;4;Lavado;NOCTURNO
219;4;Planchado;DIURNO
220;4;Lavado;DIURNO
221;4;Planchado;DIURNO
222;4;Planchado;DIURNO
223;4;Planchado;NOCTURNO
224;4;Lavado;COMPLETO
225;4;Planchado;DIURNO
226;4;Lavado;NOCTURNO
227;4;Lavado;COMPLETO
228;4;Lavado;NOCTURNO
229;4;Planchado;DIURNO
230;4;Lavado;DIURNO
231;4;Planchado;DIURNO
232;4;Planchado;DIURNO
233;4;Planchado;NOCTURNO
234;4;Lavado;COMPLETO
235;4;Planchado;DIURNO
236;4;Lavado;NOCTURNO
237;4;Lavado;COMPLETO
238;4;Lavado;NOCTURNO
239;4;Planchado;DIURNO
240;4;Lavado;DIURNO
241;4;Planchado;DIURNO
242;4;Planchado;DIURNO
243;4;Planchado;NOCTURNO
244;4;Lavado;COMPLETO
245;4;Planchado;DIURNO
246;4;Lavado;NOCTURNO
247;4;Lavado;COMPLETO
248;4;Lavado;NOCTURNO
249;4;Planchado;DIURNO
250;4;Lavado;DIURNO
251;4;Planchado;DIURNO
252;4;Planchado;DIURNO
253;4;Planchado;NOCTURNO
254;4;Lavado;COMPLETO
255;4;Planchado;DIURNO
256;4;Lavado;NOCTURNO
257;4;Lavado;COMPLETO
258;4;Lavado;NOCTURNO
259;4;Planchado;DIURNO
260;4;Lavado;DIURNO
261;4;Planchado;DIURNO
262;4;Planchado;DIURNO
263;4;Planchado;NOCTURNO
264;4;Lavado;COMPLETO
265;4;Planchado;DIURNO
266;4;Lavado;NOCTURNO
267;4;Lavado;COMPLETO
268;4;Lavado;NOCTURNO
269;4;Planchado;DIURNO
270;4;Lavado;DIURNO
271;4;Planchado;DIURNO
272;4;Planchado;DIURNO
273;4;Planchado;NOCTURNO
274;4;Lavado;COMPLETO
275;4;Planchado;DIURNO
276;4;Lavado;NOCTURNO
277;4;Lavado;COMPLETO
278;4;Lavado;NOCTURNO
279;4;Planchado;DIURNO
280;4;Lavado;DIURNO
281;4;Planchado;DIURNO
282;4;Planchado;DIURNO
283;4;Planchado;NOCTURNO
284;4;Lavado;COMPLETO
285;4;Planchado;DIURNO
286;4;Lavado;NOCTURNO
287;4;Lavado;COMPLETO
288;4;Lavado;NOCTURNO
289;4;Planchado;DIURNO
290;4;Lavado;DIURNO
291;4;Planchado;DIURNO
292;4;Planchado;DIURNO
293;4;Planchado;NOCTURNO
294;4;Lavado;COMPLETO
295;4;Planchado;DIURNO
296;4;Lavado;NOCTURNO
297;4;Lavado;COMPLETO
298;4;Lavado;NOCTURNO
299;4;Planchado;DIURNO
300;4;Lavado;DIURNO
301;4;Planchado;DIURNO
302;4;Planchado;DIURNO
303;4;Planchado;NOCTURNO
304;4;Lavado;COMPLETO
305;4;Planchado;DIURNO
306;4;Lavado;NOCTURNO
307;4;Lavado;COMPLETO
308;4;Lavado;NOCTURNO
309;4;Planchado;DIURNO
310;4;Lavado;DIURNO
311;4;Planchado;DIURNO
312;4;Planchado;DIURNO
313;4;Planchado;NOCTURNO
314;4;Lavado;COMPLETO
315;4;Planchado;DIURNO
316;4;Lavado;NOCTURNO
317;4;Lavado;COMPLETO
318;4;Lavado;NOCTURNO
319;4;Planchado;DIURNO
320;4;Lavado;DIURNO
321;4;Planchado;DIURNO
322;4;Planchado;DIURNO
323;4;Planchado;NOCTURNO
324;4;Lavado;COMPLETO
325;4;Planchado;DIURNO
326;4;Lavado;NOCTURNO
327;4;Lavado;COMPLETO
328;4;Lavado;NOCTURNO
329;4;Planchado;DIURNO
330;4;Lavado;DIURNO
331;4;Planchado;DIURNO
332;4;Planchado;DIURNO
333;4;Planchado;NOCTURNO
334;4;Lavado;COMPLETO
335;4;Planchado;DIURNO
336;4;Lavado;NOCTURNO
337;4;Lavado;COMPLETO
338;4;Lavado;NOCTURNO
339;4;Planchado;DIURNO
340;4;Lavado;DIURNO
341;4;Planchado;DIURNO
342;4;Planchado;DIURNO
343;4;Planchado;NOCTURNO
344;4;Lavado;COMPLETO
345;4;Planchado;DIURNO
346;4;Lavado;NOCTURNO
347;4;Lavado;COMPLETO
348;4;Lavado;NOCTURNO
349;4;Planchado;DIURNO
350;4;Lavado;DIURNO
351;4;Planchado;DIURNO
352;4;Planchado;DIURNO
353;4;Planchado;NOCTURNO
354;4;Lavado;COMPLETO
355;4;Planchado;DIURNO
356;4;Lavado;NOCTURNO
357;4;Lavado;COMPLETO
358;4;Lavado;NOCTURNO
359;4;Planchado;DIURNO
360;4;Lavado;DIURNO
361;4;Planchado;DIURNO
362;4;Planchado;DIURNO
