id;idServicio;capacidadPiscina;profundidad;horario;nombrePiscina
1;5;58;159;NOCTURNO;client-server
2;5;8;22;NOCTURNO;policy
3;5;10;223;DIURNO;User-friendly
4;5;41;65;DIURNO;ability
5;5;25;139;NOCTURNO;bottom-line
6;5;16;45;DIURNO;Realigned
7;5;27;152;NOCTURNO;Function-based
8;5;46;180;NOCTURNO;global
9;5;20;141;DIURNO;access
10;5;10;275;COMPLETO;benchmark
11;5;39;50;NOCTURNO;website
12;5;34;146;COMPLETO;Horizontal
13;5;43;253;NOCTURNO;explicit
14;5;40;130;DIURNO;optimal
15;5;45;151;NOCTURNO;complexity
16;5;40;257;COMPLETO;moderator
17;5;52;70;NOCTURNO;local area network
18;5;24;139;DIURNO;high-level
19;5;4;156;DIURNO;human-resource
20;5;14;243;NOCTURNO;extranet
21;5;23;62;DIURNO;multi-tasking
22;5;49;103;COMPLETO;Exclusive
23;5;37;245;DIURNO;interactive
24;5;7;152;DIURNO;Networked
25;5;7;205;COMPLETO;global
26;5;58;292;COMPLETO;parallelism
27;5;61;284;COMPLETO;mobile
28;5;70;265;DIURNO;time-frame
29;5;9;86;DIURNO;circuit
30;5;50;211;NOCTURNO;Reduced
31;5;64;177;NOCTURNO;bottom-line
32;5;17;84;DIURNO;Reactive
33;5;55;97;COMPLETO;disintermediate
34;5;36;48;COMPLETO;emulation
35;5;30;154;COMPLETO;analyzing
36;5;18;183;DIURNO;emulation
37;5;50;197;DIURNO;transitional
38;5;30;240;DIURNO;regional
39;5;17;30;COMPLETO;toolset
40;5;34;194;COMPLETO;uniform
41;5;23;87;DIURNO;Versatile
42;5;52;152;DIURNO;Synergistic
43;5;3;134;DIURNO;static
44;5;44;128;DIURNO;explicit
45;5;68;83;DIURNO;Organized
46;5;7;270;DIURNO;collaboration
47;5;2;100;NOCTURNO;algorithm
48;5;8;253;DIURNO;contingency
49;5;34;258;COMPLETO;Reverse-engineered
50;5;38;270;DIURNO;Cloned
51;5;55;139;NOCTURNO;groupware
52;5;54;123;NOCTURNO;multi-tasking
53;5;57;138;COMPLETO;exuding
54;5;47;152;COMPLETO;core
55;5;51;186;NOCTURNO;system engine
56;5;15;229;NOCTURNO;Open-source
57;5;65;166;COMPLETO;composite
58;5;51;55;DIURNO;implementation
59;5;11;91;DIURNO;internet solution
60;5;9;88;NOCTURNO;Vision-oriented
61;5;50;106;NOCTURNO;multi-tasking
62;5;42;143;COMPLETO;infrastructure
63;5;26;27;COMPLETO;6th generation
64;5;42;28;DIURNO;middleware
65;5;9;264;NOCTURNO;zero administration
66;5;49;218;NOCTURNO;tertiary
67;5;48;93;DIURNO;multi-state
68;5;35;83;DIURNO;algorithm
69;5;31;117;COMPLETO;eco-centric
70;5;5;77;NOCTURNO;mission-critical
