id;idServicio;capacidadRestaurante;horario;estiloRestaurante;nombreRestaurante
1;6;412;COMPLETO;ullamcorper;Turcotte, Jacobson and Robel
2;6;207;NOCTURNO;duis;Morar-Marvin
3;6;326;NOCTURNO;elementum;Wolf, Kuhn and Hammes
4;6;238;COMPLETO;vel;Leffler-Lakin
5;6;402;COMPLETO;cras;Parker, King and Schultz
6;6;491;DIURNO;eget;Becker, Toy and Mitchell
7;6;277;NOCTURNO;in;Runte, Harris and Heaney
8;6;498;COMPLETO;ligula;Orn, Senger and Boehm
9;6;122;NOCTURNO;quam;Fritsch-Orn
10;6;21;NOCTURNO;suspendisse;Schiller, Stoltenberg and Labadie
11;6;200;COMPLETO;nunc;Johnston, Nikolaus and Leannon
12;6;94;NOCTURNO;ligula;Hoppe Group
13;6;108;DIURNO;est;Tillman, Becker and McKenzie
14;6;172;NOCTURNO;morbi;Erdman-Cole
15;6;131;NOCTURNO;condimentum;Legros LLC
16;6;233;NOCTURNO;ipsum;Buckridge-Borer
17;6;15;DIURNO;pulvinar;Rolfson-West
18;6;392;NOCTURNO;neque;Mills, Monahan and Ankunding
19;6;179;DIURNO;vestibulum;Conroy-Moen
20;6;318;COMPLETO;in;Orn and Sons
21;6;190;NOCTURNO;justo;Hessel, Pfeffer and Cartwright
22;6;168;COMPLETO;magnis;Hackett LLC
23;6;303;COMPLETO;a;Reynolds Inc
24;6;263;NOCTURNO;nec;Schoen Inc
25;6;86;NOCTURNO;et;Labadie Group
26;6;484;NOCTURNO;curabitur;Kreiger, Stanton and Nolan
27;6;138;DIURNO;fusce;Funk and Sons
28;6;24;NOCTURNO;iaculis;Rippin, Koelpin and Wolff
29;6;316;NOCTURNO;convallis;Swaniawski, Stark and Strosin
30;6;60;DIURNO;vitae;Leuschke Group
31;6;339;DIURNO;ante;Kertzmann-Rutherford
32;6;317;COMPLETO;pellentesque;Haley, Langworth and Ledner
33;6;183;COMPLETO;in;McGlynn-Wolf
34;6;221;NOCTURNO;eget;Keebler, Grady and Windler
35;6;331;COMPLETO;in;Hansen, Huel and Stehr
36;6;418;COMPLETO;id;McLaughlin-Auer
37;6;112;COMPLETO;accumsan;Roberts, Lebsack and Feeney
38;6;185;NOCTURNO;at;Treutel-Bernhard
39;6;222;DIURNO;quisque;Bode Group
40;6;323;NOCTURNO;dis;Stamm, Schamberger and Pacocha
41;6;33;DIURNO;at;Raynor-Conroy
42;6;249;COMPLETO;sed;Grimes, Hessel and Littel
43;6;409;COMPLETO;ultrices;Murphy, Weissnat and Spencer
