id;idServicio;capacidadPersonas;nombreSalon
1;7;8583;Pademelon, red-legged
2;7;4550;Paddy heron (unidentified)
3;7;4014;Agama lizard (unidentified)
4;7;125;Lynx, african
5;7;3008;Teal, hottentot
6;7;1912;Cougar
7;7;645;Wombat, common
8;7;6307;Flamingo, chilean
9;7;2207;Goose, spur-winged
10;7;9816;Dragon, asian water
11;7;478;Sable antelope
12;7;7145;Starling, red-shouldered glossy
13;7;9016;Dragon, komodo
14;7;8446;Desert tortoise
15;7;6309;Roller, lilac-breasted
16;7;4755;Chickadee, black-capped
17;7;1586;Painted stork
18;7;2488;Cockatoo, red-breasted
19;7;6378;Egret, snowy
20;7;6393;Long-billed cockatoo
21;7;1675;Vulture, oriental white-backed
22;7;8980;Kite, black
23;7;1011;Dolphin, striped
24;7;224;Quoll, eastern
25;7;4202;Bleu, red-cheeked cordon
26;7;3202;Chameleon (unidentified)
27;7;2320;Blue duck
28;7;9224;Lemur, sportive
29;7;2443;Common waterbuck
30;7;5195;Black-tailed tree creeper
31;7;8328;Turkey, common
32;7;8038;Grouse, greater sage
33;7;1572;Grouse, greater sage
34;7;6183;Gull, pacific
35;7;1782;Pale-throated three-toed sloth
36;7;3650;Red meerkat
37;7;1591;Azara's zorro
38;7;1768;Woodrat (unidentified)
39;7;1011;Pelican, eastern white
40;7;5396;Black kite
41;7;3462;Common genet
42;7;4640;African black crake
43;7;4816;Ring-tailed gecko
44;7;8732;Common dolphin
45;7;2593;Pied avocet
46;7;5732;Black kite
47;7;4150;Jungle kangaroo
48;7;4766;Stork, yellow-billed
49;7;4377;Blacksmith plover
50;7;4837;Magpie, black-backed
51;7;5638;Lemur, sportive
52;7;8886;Macaw, scarlet
53;7;3317;Turaco, violet-crested
54;7;1441;Greater blue-eared starling
55;7;7100;Burrowing owl
56;7;322;North American red fox
57;7;6690;Southern brown bandicoot
58;7;8321;Woodpecker, downy
59;7;2018;White-throated monitor
60;7;2017;Bear, american black
61;7;6142;Monster, gila
62;7;383;Bonnet macaque
63;7;8553;Pied kingfisher
64;7;7980;Crab-eating fox
65;7;5573;Gila monster
66;7;8689;Stork, woolly-necked
67;7;7763;Nuthatch, red-breasted
68;7;5892;Monkey, black spider
69;7;9589;Lizard, desert spiny
70;7;3742;Spoonbill, white
71;7;9182;Ass, asiatic wild
72;7;306;Roseat flamingo
73;7;9996;Squirrel, uinta ground
74;7;6194;Black-collared barbet
75;7;7499;Hornbill, southern ground
76;7;2456;Red meerkat
77;7;3916;Yellow-billed stork
78;7;3252;Gull, lava
79;7;4655;Phascogale, red-tailed
80;7;3900;North American beaver
81;7;2676;Cape white-eye
82;7;1943;Heron, green-backed
83;7;6040;Red brocket
84;7;6805;Four-horned antelope
85;7;9739;Grey heron
86;7;297;Galapagos tortoise
87;7;1072;Cape fox
88;7;8220;Badger, american
89;7;2263;Spurfowl, yellow-necked
90;7;8611;Roadrunner, greater
91;7;1119;Glossy ibis
92;7;2260;Blue-faced booby
93;7;3388;Ostrich
94;7;6779;King vulture
95;7;7724;American badger
96;7;7779;Green vine snake
