idServicio;id;nombreSpa;capacidad;horario
9;1;Macaca fuscata;136;COMPLETO
9;2;Felis libyca;324;NOCTURNO
9;3;Myotis lucifugus;54;COMPLETO
9;4;Eudromia elegans;431;COMPLETO
9;5;Struthio camelus;135;NOCTURNO
9;6;Bassariscus astutus;437;NOCTURNO
9;7;Macropus agilis;147;COMPLETO
9;8;Alectura lathami;27;NOCTURNO
9;9;Carphophis sp.;359;COMPLETO
9;10;Coendou prehensilis;454;DIURNO
9;11;Giraffe camelopardalis;420;COMPLETO
9;12;Felis caracal;159;NOCTURNO
9;13;Speothos vanaticus;128;DIURNO
9;14;Varanus salvator;494;NOCTURNO
9;15;Columba livia;369;DIURNO
9;16;Globicephala melas;184;COMPLETO
9;17;Vulpes chama;99;NOCTURNO
9;18;Canis lupus lycaon;402;COMPLETO
9;19;Platalea leucordia;382;COMPLETO
9;20;Pan troglodytes;202;NOCTURNO
9;21;Corythornis cristata;6;NOCTURNO
9;22;Colaptes campestroides;435;NOCTURNO
9;23;Pavo cristatus;424;NOCTURNO
9;24;Varanus komodensis;431;DIURNO
9;25;Dicrurus adsimilis;327;NOCTURNO
9;26;Macropus agilis;199;DIURNO
9;27;Echimys chrysurus;229;COMPLETO
9;28;Phascogale calura;7;NOCTURNO
9;29;Paraxerus cepapi;137;NOCTURNO
9;30;Phalacrocorax albiventer;78;COMPLETO
9;31;Paraxerus cepapi;70;DIURNO
9;32;Varanus albigularis;208;COMPLETO
9;33;Cygnus buccinator;58;COMPLETO
9;34;Rhea americana;389;COMPLETO
9;35;Colaptes campestroides;172;NOCTURNO
9;36;Naja haje;255;DIURNO
9;37;Trichosurus vulpecula;148;COMPLETO
9;38;Agkistrodon piscivorus;7;COMPLETO
9;39;Egretta thula;25;DIURNO
9;40;Butorides striatus;328;NOCTURNO
9;41;Terrapene carolina;58;DIURNO
9;42;Plocepasser mahali;259;COMPLETO
9;43;Canis lupus baileyi;203;COMPLETO
9;44;Mazama americana;299;COMPLETO
9;45;Cygnus buccinator;414;NOCTURNO
9;46;Cacatua tenuirostris;464;NOCTURNO
9;47;Carduelis uropygialis;266;DIURNO
9;48;Naja nivea;14;DIURNO
9;49;Bison bison;179;NOCTURNO
9;50;Oxybelis fulgidus;89;COMPLETO
9;51;Uraeginthus bengalus;280;DIURNO
9;52;Marmota monax;283;DIURNO
9;53;Dendrocitta vagabunda;462;COMPLETO
9;54;Limnocorax flavirostra;208;NOCTURNO
9;55;Lasiorhinus latifrons;177;COMPLETO
9;56;Irania gutteralis;155;DIURNO
9;57;Phascogale tapoatafa;456;DIURNO
9;58;Naja haje;403;COMPLETO
9;59;Cacatua tenuirostris;307;DIURNO
9;60;Trichoglossus haematodus moluccanus;435;NOCTURNO
9;61;Acrobates pygmaeus;305;COMPLETO
9;62;Agama sp.;473;COMPLETO
9;63;Lamprotornis superbus;175;NOCTURNO
9;64;Bos taurus;292;COMPLETO
9;65;Merops nubicus;51;NOCTURNO
9;66;Felis wiedi or Leopardus weidi;36;NOCTURNO
9;67;Varanus sp.;22;DIURNO
9;68;Pseudalopex gymnocercus;429;COMPLETO
9;69;Paradoxurus hermaphroditus;271;NOCTURNO
9;70;Pavo cristatus;290;DIURNO
9;71;Cyrtodactylus louisiadensis;468;NOCTURNO
9;72;Pytilia melba;304;NOCTURNO
9;73;Papio cynocephalus;242;DIURNO
9;74;Speotyte cuniculata;19;NOCTURNO
9;75;Melophus lathami;409;COMPLETO
