idServicio;id;nombreSupermercado;horario
10;1;Other Consumer Services;NOCTURNO
10;2;Real Estate;DIURNO
10;3;Electrical Products;NOCTURNO
10;4;n/a;NOCTURNO
10;5;Package Goods/Cosmetics;NOCTURNO
10;6;n/a;COMPLETO
10;7;Electric Utilities: Central;COMPLETO
10;8;n/a;DIURNO
10;9;Biotechnology: Biological Products (No Diagnostic Substances);DIURNO
10;10;Telecommunications Equipment;NOCTURNO
10;11;Multi-Sector Companies;DIURNO
10;12;n/a;COMPLETO
10;13;Packaged Foods;NOCTURNO
10;14;Biotechnology: Electromedical - Electrotherapeutic Apparatus;NOCTURNO
10;15;n/a;DIURNO
10;16;Real Estate Investment Trusts;COMPLETO
10;17;Telecommunications Equipment;NOCTURNO
10;18;n/a;NOCTURNO
10;19;Computer Software: Prepackaged Software;NOCTURNO
10;20;n/a;DIURNO
10;21;Business Services;COMPLETO
10;22;Oil Refining/Marketing;NOCTURNO
10;23;Business Services;DIURNO
10;24;n/a;DIURNO
10;25;Oil - Gas Production;DIURNO
10;26;n/a;COMPLETO
10;27;Electric Utilities: Central;DIURNO
10;28;n/a;COMPLETO
10;29;Major Pharmaceuticals;DIURNO
10;30;Industrial Machinery/Components;NOCTURNO
10;31;Biotechnology: Commercial Physical - Biological Resarch;NOCTURNO
10;32;Consumer Specialties;DIURNO
10;33;n/a;NOCTURNO
10;34;Oil - Gas Production;NOCTURNO
10;35;Broadcasting;DIURNO
10;36;Motor Vehicles;COMPLETO
10;37;Oil - Gas Production;NOCTURNO
10;38;Electric Utilities: Central;NOCTURNO
10;39;Fluid Controls;NOCTURNO
10;40;Investment Bankers/Brokers/Service;DIURNO
10;41;Homebuilding;DIURNO
10;42;EDP Services;COMPLETO
10;43;Integrated oil Companies;DIURNO
10;44;Agricultural Chemicals;DIURNO
10;45;Marine Transportation;COMPLETO
10;46;RETAIL: Building Materials;COMPLETO
10;47;Major Banks;DIURNO
10;48;n/a;COMPLETO
10;49;n/a;NOCTURNO
10;50;Telecommunications Equipment;COMPLETO
10;51;Restaurants;COMPLETO
10;52;Construction/Ag Equipment/Trucks;COMPLETO
10;53;Business Services;DIURNO
10;54;Major Banks;DIURNO
10;55;Marine Transportation;COMPLETO
10;56;n/a;DIURNO
10;57;Commercial Banks;DIURNO
10;58;Hotels/Resorts;NOCTURNO
10;59;Computer peripheral equipment;DIURNO
10;60;Industrial Machinery/Components;NOCTURNO
10;61;Industrial Machinery/Components;NOCTURNO
10;62;Real Estate Investment Trusts;DIURNO
10;63;Newspapers/Magazines;COMPLETO
10;64;n/a;DIURNO
10;65;Major Pharmaceuticals;DIURNO
10;66;Radio And Television Broadcasting And Communications Equipment;NOCTURNO
10;67;n/a;DIURNO
10;68;Real Estate;COMPLETO
10;69;n/a;DIURNO
10;70;Metal Fabrications;DIURNO
10;71;Major Pharmaceuticals;NOCTURNO
10;72;Investment Bankers/Brokers/Service;NOCTURNO
10;73;n/a;NOCTURNO
10;74;n/a;NOCTURNO
10;75;EDP Services;COMPLETO
10;76;Real Estate Investment Trusts;DIURNO
10;77;Major Banks;DIURNO
10;78;Water Supply;NOCTURNO
10;79;n/a;DIURNO
10;80;n/a;COMPLETO
10;81;Banks;NOCTURNO
10;82;Marine Transportation;COMPLETO
10;83;n/a;COMPLETO
10;84;Real Estate;NOCTURNO
10;85;Property-Casualty Insurers;COMPLETO
10;86;Semiconductors;COMPLETO
10;87;Containers/Packaging;COMPLETO
10;88;Oilfield Services/Equipment;DIURNO
10;89;Marine Transportation;DIURNO
10;90;Semiconductors;COMPLETO
10;91;n/a;COMPLETO
10;92;Containers/Packaging;COMPLETO
10;93;n/a;COMPLETO
10;94;Real Estate Investment Trusts;DIURNO
10;95;n/a;NOCTURNO
10;96;Major Pharmaceuticals;DIURNO
10;97;Natural Gas Distribution;COMPLETO
10;98;Finance: Consumer Services;NOCTURNO
10;99;Real Estate Investment Trusts;COMPLETO
10;100;n/a;NOCTURNO
10;101;n/a;DIURNO
10;102;Finance: Consumer Services;NOCTURNO
10;103;Marine Transportation;COMPLETO
10;104;Major Banks;COMPLETO
10;105;Clothing/Shoe/Accessory Stores;DIURNO
10;106;Hotels/Resorts;COMPLETO
10;107;Major Pharmaceuticals;COMPLETO
10;108;Major Chemicals;DIURNO
10;109;Major Banks;DIURNO
10;110;Industrial Machinery/Components;NOCTURNO
10;111;Finance: Consumer Services;NOCTURNO
10;112;Metal Fabrications;NOCTURNO
10;113;Transportation Services;DIURNO
10;114;Oil - Gas Production;DIURNO
10;115;Hospital/Nursing Management;NOCTURNO
10;116;n/a;DIURNO
10;117;Real Estate Investment Trusts;NOCTURNO
10;118;n/a;DIURNO
10;119;Natural Gas Distribution;COMPLETO
10;120;n/a;DIURNO
10;121;Major Pharmaceuticals;NOCTURNO
10;122;n/a;NOCTURNO
10;123;Major Pharmaceuticals;NOCTURNO
10;124;Business Services;NOCTURNO
10;125;Natural Gas Distribution;NOCTURNO
10;126;Semiconductors;DIURNO
10;127;EDP Services;COMPLETO
10;128;Major Pharmaceuticals;COMPLETO
10;129;Savings Institutions;NOCTURNO
10;130;n/a;NOCTURNO
10;131;Finance: Consumer Services;COMPLETO
10;132;n/a;DIURNO
10;133;Major Pharmaceuticals;DIURNO
10;134;Electrical Products;NOCTURNO
10;135;n/a;DIURNO
10;136;n/a;DIURNO
10;137;n/a;COMPLETO
10;138;Industrial Machinery/Components;DIURNO
10;139;Electrical Products;NOCTURNO
10;140;n/a;DIURNO
10;141;Industrial Machinery/Components;COMPLETO
10;142;Industrial Machinery/Components;COMPLETO
10;143;Biotechnology: Biological Products (No Diagnostic Substances);COMPLETO
10;144;Environmental Services;DIURNO
10;145;Biotechnology: In Vitro - In Vivo Diagnostic Substances;DIURNO
10;146;Major Pharmaceuticals;COMPLETO
10;147;Commercial Banks;COMPLETO
10;148;Metal Fabrications;NOCTURNO
10;149;Department/Specialty Retail Stores;NOCTURNO
10;150;Major Pharmaceuticals;COMPLETO
10;151;Major Pharmaceuticals;NOCTURNO
10;152;Biotechnology: Electromedical - Electrotherapeutic Apparatus;NOCTURNO
10;153;Banks;DIURNO
10;154;Restaurants;NOCTURNO
10;155;Home Furnishings;DIURNO
10;156;Computer peripheral equipment;DIURNO
10;157;Computer Software: Prepackaged Software;NOCTURNO
10;158;Major Pharmaceuticals;COMPLETO
10;159;n/a;NOCTURNO
10;160;Semiconductors;DIURNO
10;161;Real Estate Investment Trusts;COMPLETO
10;162;Industrial Machinery/Components;COMPLETO
10;163;Major Pharmaceuticals;NOCTURNO
10;164;Oil - Gas Production;DIURNO
10;165;Real Estate Investment Trusts;DIURNO
10;166;Major Pharmaceuticals;COMPLETO
10;167;Trucking Freight/Courier Services;DIURNO
10;168;Packaged Foods;NOCTURNO
10;169;Building Products;DIURNO
10;170;n/a;DIURNO
10;171;Major Pharmaceuticals;DIURNO
10;172;Computer Software: Prepackaged Software;DIURNO
10;173;Oilfield Services/Equipment;COMPLETO
10;174;n/a;NOCTURNO
10;175;Real Estate Investment Trusts;NOCTURNO
10;176;Homebuilding;COMPLETO
10;177;Package Goods/Cosmetics;DIURNO
10;178;Major Pharmaceuticals;DIURNO
10;179;n/a;NOCTURNO
10;180;n/a;NOCTURNO
10;181;Life Insurance;NOCTURNO
10;182;Integrated oil Companies;DIURNO
10;183;n/a;COMPLETO
10;184;Other Specialty Stores;DIURNO
10;185;Oil - Gas Production;DIURNO
10;186;Industrial Machinery/Components;COMPLETO
10;187;Marine Transportation;DIURNO
10;188;Business Services;DIURNO
10;189;Telecommunications Equipment;DIURNO
10;190;Business Services;NOCTURNO
10;191;Real Estate Investment Trusts;COMPLETO
10;192;Packaged Foods;NOCTURNO
10;193;Real Estate;DIURNO
10;194;Publishing;COMPLETO
10;195;Major Banks;NOCTURNO
10;196;n/a;COMPLETO
10;197;Real Estate Investment Trusts;DIURNO
10;198;Biotechnology: Electromedical - Electrotherapeutic Apparatus;COMPLETO
10;199;n/a;NOCTURNO
10;200;Major Banks;COMPLETO
10;201;n/a;DIURNO
10;202;Computer Software: Programming, Data Processing;COMPLETO
10;203;Office Equipment/Supplies/Services;NOCTURNO
10;204;Major Pharmaceuticals;NOCTURNO
10;205;Metal Fabrications;DIURNO
10;206;Oil - Gas Production;COMPLETO
10;207;Medical Specialities;NOCTURNO
10;208;Real Estate;COMPLETO
10;209;Television Services;DIURNO
10;210;Metal Fabrications;NOCTURNO
10;211;n/a;COMPLETO
10;212;Computer Software: Programming, Data Processing;DIURNO
10;213;Investment Managers;DIURNO
10;214;Real Estate Investment Trusts;DIURNO
10;215;Homebuilding;NOCTURNO
10;216;Electrical Products;COMPLETO
10;217;Broadcasting;COMPLETO
10;218;n/a;NOCTURNO
10;219;n/a;COMPLETO
10;220;n/a;NOCTURNO
10;221;n/a;COMPLETO
10;222;Major Banks;NOCTURNO
10;223;n/a;COMPLETO
10;224;Property-Casualty Insurers;DIURNO
10;225;n/a;COMPLETO
10;226;Real Estate;DIURNO
10;227;Computer Software: Prepackaged Software;DIURNO
10;228;Medical/Dental Instruments;COMPLETO
10;229;Computer Software: Prepackaged Software;NOCTURNO
10;230;Newspapers/Magazines;DIURNO
10;231;Computer Software: Prepackaged Software;DIURNO
10;232;Hospital/Nursing Management;DIURNO
10;233;n/a;DIURNO
10;234;Investment Bankers/Brokers/Service;DIURNO
10;235;Major Banks;COMPLETO
10;236;Major Banks;NOCTURNO
10;237;Packaged Foods;NOCTURNO
10;238;Professional Services;COMPLETO
10;239;n/a;DIURNO
10;240;Real Estate Investment Trusts;DIURNO
10;241;Major Banks;COMPLETO
10;242;Property-Casualty Insurers;NOCTURNO
10;243;Specialty Chemicals;NOCTURNO
10;244;Industrial Specialties;DIURNO
10;245;Integrated oil Companies;NOCTURNO
10;246;EDP Services;NOCTURNO
10;247;Oil - Gas Production;NOCTURNO
10;248;Savings Institutions;COMPLETO
10;249;Advertising;COMPLETO
10;250;Real Estate Investment Trusts;NOCTURNO
10;251;Biotechnology: Electromedical - Electrotherapeutic Apparatus;COMPLETO
10;252;Major Banks;DIURNO
10;253;Containers/Packaging;NOCTURNO
10;254;Restaurants;NOCTURNO
10;255;Biotechnology: In Vitro - In Vivo Diagnostic Substances;COMPLETO
10;256;Computer Software: Prepackaged Software;COMPLETO
10;257;Major Pharmaceuticals;COMPLETO
10;258;Hospital/Nursing Management;DIURNO
10;259;Major Pharmaceuticals;NOCTURNO
10;260;Steel/Iron Ore;COMPLETO
10;261;Business Services;DIURNO
10;262;Medical Specialities;NOCTURNO
10;263;Major Banks;DIURNO
10;264;n/a;DIURNO
10;265;Business Services;NOCTURNO
10;266;n/a;COMPLETO
10;267;Industrial Specialties;NOCTURNO
10;268;Major Chemicals;NOCTURNO
10;269;Apparel;COMPLETO
10;270;Investment Bankers/Brokers/Service;DIURNO
10;271;Medical/Dental Instruments;NOCTURNO
10;272;Major Pharmaceuticals;COMPLETO
10;273;Advertising;DIURNO
10;274;Hotels/Resorts;DIURNO
10;275;Computer Software: Prepackaged Software;DIURNO
10;276;Forest Products;COMPLETO
10;277;Food Chains;DIURNO
10;278;n/a;NOCTURNO
10;279;Major Banks;COMPLETO
10;280;Major Banks;NOCTURNO
10;281;Computer Software: Prepackaged Software;NOCTURNO
10;282;Other Consumer Services;COMPLETO
10;283;Specialty Insurers;COMPLETO
10;284;Major Pharmaceuticals;DIURNO
10;285;Major Pharmaceuticals;DIURNO
10;286;n/a;COMPLETO
10;287;Books;NOCTURNO
10;288;Business Services;NOCTURNO
10;289;n/a;NOCTURNO
10;290;Metal Fabrications;DIURNO
10;291;Major Pharmaceuticals;COMPLETO
10;292;Computer Software: Prepackaged Software;NOCTURNO
10;293;Meat/Poultry/Fish;COMPLETO
10;294;Medical/Dental Instruments;DIURNO
10;295;EDP Services;DIURNO
10;296;Computer Software: Programming, Data Processing;COMPLETO
10;297;Major Banks;COMPLETO
10;298;Newspapers/Magazines;COMPLETO
10;299;Computer Software: Prepackaged Software;NOCTURNO
10;300;Retail: Computer Software - Peripheral Equipment;DIURNO
10;301;Metal Fabrications;DIURNO
10;302;n/a;COMPLETO
10;303;Medical Specialities;NOCTURNO
10;304;Major Pharmaceuticals;COMPLETO
10;305;Precious Metals;DIURNO
10;306;n/a;COMPLETO
10;307;Major Pharmaceuticals;NOCTURNO
10;308;Major Banks;NOCTURNO
10;309;Other Consumer Services;NOCTURNO
10;310;n/a;DIURNO
10;311;Major Banks;DIURNO
10;312;Major Banks;NOCTURNO
10;313;Oil - Gas Production;DIURNO
10;314;Major Chemicals;NOCTURNO
10;315;Restaurants;DIURNO
10;316;Biotechnology: Laboratory Analytical Instruments;DIURNO
10;317;Major Pharmaceuticals;NOCTURNO
10;318;n/a;DIURNO
10;319;n/a;NOCTURNO
10;320;Major Banks;DIURNO
10;321;Telecommunications Equipment;COMPLETO
10;322;Investment Bankers/Brokers/Service;COMPLETO
10;323;Property-Casualty Insurers;DIURNO
10;324;EDP Services;COMPLETO
10;325;Major Pharmaceuticals;COMPLETO
10;326;n/a;NOCTURNO
10;327;Major Pharmaceuticals;NOCTURNO
10;328;Major Pharmaceuticals;COMPLETO
10;329;Property-Casualty Insurers;COMPLETO
10;330;Semiconductors;COMPLETO
10;331;n/a;DIURNO
10;332;Telecommunications Equipment;COMPLETO
10;333;Homebuilding;COMPLETO
10;334;Computer Software: Prepackaged Software;DIURNO
10;335;n/a;COMPLETO
10;336;Packaged Foods;NOCTURNO
10;337;Radio And Television Broadcasting And Communications Equipment;DIURNO
10;338;Medical Specialities;COMPLETO
10;339;Marine Transportation;NOCTURNO
10;340;Industrial Machinery/Components;DIURNO
10;341;Military/Government/Technical;COMPLETO
10;342;Business Services;NOCTURNO
10;343;n/a;NOCTURNO
10;344;Industrial Machinery/Components;NOCTURNO
10;345;n/a;COMPLETO
10;346;Department/Specialty Retail Stores;COMPLETO
10;347;n/a;NOCTURNO
10;348;Other Specialty Stores;COMPLETO
10;349;Oil - Gas Production;DIURNO
10;350;Major Banks;NOCTURNO
10;351;Real Estate Investment Trusts;DIURNO
10;352;Industrial Specialties;DIURNO
