idServicio;id;nombreTienda;tipoTienda;horario
11;1;Jabberbean;massa;COMPLETO
11;2;Skinder;vulputate;COMPLETO
11;3;Bluezoom;libero;NOCTURNO
11;4;Pixope;in;COMPLETO
11;5;Divavu;mi;NOCTURNO
11;6;Tanoodle;praesent;NOCTURNO
11;7;Photolist;consectetuer;DIURNO
11;8;Bubblemix;pede;COMPLETO
11;9;Zoombeat;ante;COMPLETO
11;10;Zoombeat;lobortis;NOCTURNO
11;11;Eabox;ac;COMPLETO
11;12;Meemm;ac;NOCTURNO
11;13;Talane;dolor;COMPLETO
11;14;Minyx;nullam;NOCTURNO
11;15;Browseblab;orci;COMPLETO
11;16;Cogidoo;morbi;COMPLETO
11;17;Tagpad;amet;NOCTURNO
11;18;Kazu;morbi;NOCTURNO
11;19;Feedbug;magna;DIURNO
11;20;Browseblab;turpis;NOCTURNO
11;21;Mita;id;NOCTURNO
11;22;Pixope;nulla;COMPLETO
11;23;Innojam;posuere;DIURNO
11;24;Zoomlounge;in;DIURNO
11;25;Fatz;libero;COMPLETO
11;26;Kamba;mus;NOCTURNO
11;27;Digitube;mattis;COMPLETO
11;28;Gabvine;luctus;DIURNO
11;29;Centizu;lectus;COMPLETO
11;30;Brainverse;convallis;COMPLETO
11;31;Youspan;euismod;COMPLETO
11;32;Babbleset;ligula;COMPLETO
11;33;Mydo;ut;DIURNO
11;34;Fiveclub;in;DIURNO
11;35;Nlounge;et;COMPLETO
11;36;Blognation;purus;DIURNO
11;37;Youbridge;nascetur;COMPLETO
11;38;Photobug;ut;COMPLETO
11;39;Realbridge;vehicula;NOCTURNO
11;40;Midel;luctus;NOCTURNO
11;41;Yadel;venenatis;DIURNO
11;42;Kare;in;NOCTURNO
11;43;Edgeify;metus;COMPLETO
11;44;Mybuzz;quam;COMPLETO
11;45;Reallinks;ac;NOCTURNO
11;46;Youspan;diam;DIURNO
11;47;Flipbug;pulvinar;DIURNO
11;48;Topicware;ante;NOCTURNO
11;49;Voolia;rhoncus;COMPLETO
11;50;Cogibox;euismod;NOCTURNO
11;51;Omba;at;DIURNO
11;52;Linklinks;faucibus;COMPLETO
11;53;Devpulse;tempus;COMPLETO
11;54;Zoomlounge;nibh;COMPLETO
11;55;Chatterpoint;mi;COMPLETO
11;56;Rooxo;enim;NOCTURNO
11;57;Dablist;magna;COMPLETO
11;58;Feedbug;sed;DIURNO
11;59;Plajo;sodales;COMPLETO
11;60;Zoomlounge;est;DIURNO
11;61;Vidoo;neque;DIURNO
11;62;Zoozzy;egestas;COMPLETO
11;63;Nlounge;ante;DIURNO
11;64;Topiczoom;phasellus;DIURNO
11;65;InnoZ;mattis;COMPLETO
11;66;Flipstorm;ut;COMPLETO
11;67;Jayo;dignissim;DIURNO
11;68;Kimia;eros;DIURNO
11;69;Photojam;lacus;NOCTURNO
11;70;Meemm;lobortis;DIURNO
11;71;Camido;vel;COMPLETO
11;72;Gabtype;velit;NOCTURNO
11;73;Topicblab;ante;DIURNO
11;74;Teklist;tortor;NOCTURNO
11;75;Devify;vivamus;NOCTURNO
11;76;Topicware;ut;NOCTURNO
11;77;Blognation;vestibulum;DIURNO
11;78;Dabshots;amet;COMPLETO
11;79;Rhyloo;lobortis;COMPLETO
11;80;Skimia;amet;COMPLETO
11;81;Skipstorm;sed;DIURNO
11;82;Kazu;luctus;DIURNO
11;83;Wikido;ultrices;COMPLETO
11;84;Chatterpoint;et;DIURNO
11;85;Dabvine;vehicula;NOCTURNO
11;86;Wordware;maecenas;DIURNO
11;87;Ailane;consectetuer;COMPLETO
11;88;Pixoboo;ante;NOCTURNO
11;89;Wikizz;nulla;NOCTURNO
11;90;Twitternation;nulla;NOCTURNO
11;91;Katz;at;NOCTURNO
11;92;Dynazzy;consequat;COMPLETO
11;93;Bubbletube;fermentum;COMPLETO
11;94;Yakijo;massa;NOCTURNO
11;95;Quatz;diam;COMPLETO
11;96;Demivee;faucibus;DIURNO
11;97;Avaveo;nec;COMPLETO
11;98;Feedmix;velit;COMPLETO
11;99;Gigazoom;justo;DIURNO
11;100;Katz;justo;NOCTURNO
11;101;Dabvine;etiam;NOCTURNO
11;102;Zoozzy;vel;NOCTURNO
11;103;Bluezoom;vulputate;DIURNO
11;104;Zoonoodle;eros;COMPLETO
11;105;Yodoo;parturient;NOCTURNO
11;106;Fivebridge;justo;COMPLETO
11;107;Yodo;etiam;NOCTURNO
11;108;Realcube;duis;COMPLETO
11;109;Gabtype;sed;COMPLETO
11;110;Linklinks;turpis;DIURNO
11;111;Skidoo;vulputate;NOCTURNO
11;112;Flashdog;sed;COMPLETO
11;113;Feedfish;metus;COMPLETO
11;114;Teklist;ac;NOCTURNO
11;115;Jayo;id;DIURNO
11;116;Twiyo;sit;NOCTURNO
11;117;Dabfeed;turpis;NOCTURNO
11;118;Voonix;odio;COMPLETO
11;119;Oyonder;ante;DIURNO
11;120;Browsebug;lectus;NOCTURNO
11;121;Skaboo;orci;COMPLETO
11;122;Yombu;platea;NOCTURNO
11;123;Meevee;luctus;NOCTURNO
11;124;Voomm;quisque;NOCTURNO
11;125;Trupe;semper;COMPLETO
11;126;Wikizz;tristique;DIURNO
11;127;Izio;erat;COMPLETO
11;128;Layo;orci;COMPLETO
11;129;Jamia;ac;NOCTURNO
11;130;Zoomlounge;varius;COMPLETO
11;131;Meezzy;integer;DIURNO
11;132;Zoombox;faucibus;NOCTURNO
11;133;Devcast;ut;DIURNO
11;134;Quaxo;vel;COMPLETO
11;135;Edgepulse;sit;DIURNO
11;136;Brainsphere;ut;NOCTURNO
11;137;Zazio;eleifend;NOCTURNO
11;138;Rhyzio;quam;NOCTURNO
11;139;Chatterpoint;integer;NOCTURNO
11;140;Thoughtstorm;at;DIURNO
11;141;Meevee;fermentum;DIURNO
11;142;Yabox;mi;DIURNO
11;143;Oozz;sed;DIURNO
11;144;Jayo;integer;NOCTURNO
11;145;Digitube;nulla;NOCTURNO
11;146;Reallinks;nulla;NOCTURNO
11;147;Quire;pharetra;COMPLETO
11;148;Trupe;eget;DIURNO
11;149;BlogXS;molestie;COMPLETO
11;150;Zoomlounge;massa;NOCTURNO
11;151;Agimba;tristique;NOCTURNO
11;152;Fanoodle;eget;NOCTURNO
11;153;Rhynyx;turpis;COMPLETO
11;154;Tambee;fringilla;NOCTURNO
11;155;Riffpedia;purus;NOCTURNO
11;156;Avamba;tincidunt;DIURNO
11;157;Photobug;semper;NOCTURNO
11;158;Devshare;metus;DIURNO
11;159;Youfeed;parturient;NOCTURNO
11;160;Shufflester;maecenas;NOCTURNO
11;161;Gigabox;sollicitudin;DIURNO
11;162;Kimia;interdum;COMPLETO
11;163;Quimba;semper;DIURNO
11;164;DabZ;nulla;DIURNO
11;165;Cogilith;nam;NOCTURNO
11;166;Cogibox;diam;DIURNO
11;167;Feedbug;in;NOCTURNO
11;168;Yata;sollicitudin;NOCTURNO
11;169;Zooxo;tempus;DIURNO
11;170;Fivebridge;ac;COMPLETO
11;171;Einti;rutrum;NOCTURNO
11;172;Flashpoint;semper;DIURNO
11;173;Meembee;morbi;COMPLETO
11;174;Meeveo;quam;DIURNO
11;175;Wordtune;condimentum;COMPLETO
11;176;Bubblemix;pede;NOCTURNO
11;177;Brainverse;nisl;NOCTURNO
11;178;Gevee;eleifend;DIURNO
11;179;Jaxbean;pretium;NOCTURNO
11;180;Dablist;consectetuer;DIURNO
11;181;Brainlounge;justo;DIURNO
11;182;Zoonoodle;dui;DIURNO
11;183;Yozio;consequat;COMPLETO
11;184;Lazz;massa;COMPLETO
11;185;BlogXS;mattis;DIURNO
11;186;Jayo;rutrum;COMPLETO
11;187;Teklist;eros;NOCTURNO
11;188;Yabox;non;COMPLETO
11;189;Thoughtmix;placerat;DIURNO
11;190;Pixonyx;volutpat;NOCTURNO
