11:42:05,711 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Limpiando la BD de HotelAndes
11:42:05,809 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.persistencia.PersistenciaHotelAndes] - Borrada la base de datos
11:42:05,810 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Limpiando la BD de HotelAndes: Listo!
17:49:19,884 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se encontró un archivo de configuración válido: Interfaz
17:49:19,884 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se aplica configuración indicada en el archivo de configuración
17:49:19,896 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se encontró un archivo de configuración válido: Tablas BD
10:25:00,497 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se encontró un archivo de configuración válido: Interfaz
10:25:00,498 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se aplica configuración indicada en el archivo de configuración
10:25:00,517 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se encontró un archivo de configuración válido: Tablas BD
10:25:27,259 (main) INFO  [uniandes.isis2304.hotelAndes.interfazDemo.InterfazHotelAndesDemo] - Se encontró un archivo de configuración válido: Interfaz
10:25:27,260 (main) INFO  [uniandes.isis2304.hotelAndes.interfazDemo.InterfazHotelAndesDemo] - Se aplica configuración indicada en el archivo de configuración
10:25:27,278 (main) INFO  [uniandes.isis2304.hotelAndes.interfazDemo.InterfazHotelAndesDemo] - Se encontró un archivo de configuración válido: Tablas BD
15:09:01,425 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se encontró un archivo de configuración válido: Interfaz
15:09:01,426 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se aplica configuración indicada en el archivo de configuración
15:09:01,505 (main) INFO  [uniandes.isis2304.hotelAndes.interfazApp.InterfazHotelAndesApp] - Se encontró un archivo de configuración válido: Tablas BD
15:09:59,002 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando Usuario por nombre: Maria
15:09:59,194 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando TipoUsuario por tipoEmpleo: AdministradorDatos
15:10:20,617 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando Usuario por nombre: Pedro
15:10:20,652 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando TipoUsuario por tipoEmpleo: Cliente
15:11:01,785 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando tipoHabitacion por tipo: Suite
15:11:01,846 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando Habitacion por tipo: 1
15:11:01,894 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Consultando habitaciones: 2 habitaciones existentes
15:11:01,894 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Adicionando reserva habitacion 
15:11:02,388 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Adicionando reserva habitacion: ReservaHabitacion [id=0, fechaIngreso=2022-10-10, fechaSalida=2022-10-15, cantidadPersonas=4, planPago=Convencion1, cliente=12345678, habitacion=350, totalCompras=0.0]
15:11:46,746 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando tipoHabitacion por tipo: Suite
15:11:46,786 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Buscando Habitacion por tipo: 1
15:11:46,832 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Consultando habitaciones: 2 habitaciones existentes
15:11:46,833 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Adicionando reserva habitacion 
15:11:46,929 (AWT-EventQueue-0) INFO  [uniandes.isis2304.hotelAndes.negocio.HotelAndes] - Adicionando reserva habitacion: ReservaHabitacion [id=0, fechaIngreso=2022-10-15, fechaSalida=2022-10-20, cantidadPersonas=4, planPago=Convencion1, cliente=12345678, habitacion=350, totalCompras=0.0]
